disclosure_year,ticker,asset_description,amount,representative
2021,COLD,Americold Realty Trust Common Shares,"$1,001 - $15,000",Hon. Alan S. Lowenthal
2021,COLD,Americold Realty Trust Common Shares,"$15,001 - $50,000",Hon. Alan S. Lowenthal
2021,SEP,Spectra Energy Capital LLC,"$1,001 - $15,000",Hon. Mo Brooks
2021,DXCM,DexCom Inc,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,HD,Home Depot,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,ICUI,ICU Medical Inc,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,IFNNY,Infineon Technologies,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,PHR,Phreesia Inc,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,SITE,SiteOne Landscape Supply Inc,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,VCYT,Veracyte Inc,"$1,001 - $15,000",Hon. Josh Gottheimer
2021,AMZN,Amazon.com Inc,"$15,001 - $50,000",Hon. John Curtis
2021,DOMO,DOMO Inc Class B,"$15,001 - $50,000",Hon. John Curtis
2021,DIS,The Walt Disney Corp,"$1,001 - $15,000",Hon. John Curtis
2021,GOOGL,Alphabet Inc. - Class A,"$1,001 - $15,000",None Kathy Manning
2021,GOOGL,Alphabet Inc. - Class A,"$1,001 - $15,000",None Kathy Manning
2021,GOOG,Alphabet Inc. - Class C Capital Stock,"$1,001 - $15,000",None Kathy Manning
2021,AMGN,Amgen Inc.,"$1,001 - $15,000",None Kathy Manning
2021,AMGN,Amgen Inc.,"$1,001 - $15,000",None Kathy Manning
2021,AAPL,Apple Inc.,"$1,001 - $15,000",None Kathy Manning
2021,CFG,"Citizens Financial Group, Inc.","$1,001 - $15,000",None Kathy Manning
2021,INTC,Intel Corporation,"$15,001 - $50,000",None Kathy Manning
2021,INTL,Intel Corporation,"$1,001 - $15,000",None Kathy Manning
2021,LMT,Lockheed Martin Corporation,"$1,001 - $15,000",None Kathy Manning
2021,MU,"Micron Technology, Inc.","$1,001 - $15,000",None Kathy Manning
2021,PYPL,"PayPal Holdings, Inc.","$1,001 - $15,000",None Kathy Manning
2021,QCOM,QUALCOMM Incorporated,"$1,001 - $15,000",None Kathy Manning
2021,SBUX,Starbucks Corporation,"$1,001 - $15,000",None Kathy Manning
2021,DIS,Walt Disney Company,"$1,001 - $15,000",None Kathy Manning
2021,TMUS,T-Mobile USA,"$1,001 - $15,000",Hon. Susie Lee
2021,ROP,Roper Technologies,"$1,001 - $15,000",Hon. Susie Lee
2021,INFO,IHS Markit Ltd,"$1,001 - $15,000",Hon. Susie Lee
2021,GO,Grocery Outlet Holding Company,"$1,001 - $15,000",Hon. Susie Lee
2021,FISV,Fiserv Inc,"$1,001 - $15,000",Hon. Susie Lee
2021,FISV,Fiserv Inc,"$1,001 - $15,000",Hon. Susie Lee
2021,ECL,EcoLab Inc,"$1,001 - $15,000",Hon. Susie Lee
2021,DELL,Dell Technologies Inc,"$1,001 - $15,000",Hon. Susie Lee
2021,CHNG,Change Healthcare Inc,"$1,001 - $15,000",Hon. Susie Lee
2021,CDW,CDW Corporation,"$1,001 - $15,000",Hon. Susie Lee
2021,CACI,CACI International Class A,"$1,001 - $15,000",Hon. Susie Lee
2021,CACI,CACI International Class A,"$1,001 - $15,000",Hon. Susie Lee
2021,BLL,Ball Corporation,"$1,001 - $15,000",Hon. Susie Lee
2021,ABT,Abbot Laboratories,"$15,001 - $50,000",Mr. Peter Meijer
2021,ABBV,AbbVie Inc,"$1,001 - $15,000",Mr. Peter Meijer
2021,ACHC,"Acadia Healthcare Company, Inc","$1,001 - $15,000",Mr. Peter Meijer
2021,ATVI,Activision Blizzard Inc,"$1,001 - $15,000",Mr. Peter Meijer
2021,ADDDYY,Adidas AG Sponsored ADR,"$15,001 - $50,000",Mr. Peter Meijer
2021,ADBE,Adobe Inc,"$15,001 - $50,000",Mr. Peter Meijer
2021,AMD,Advanced Micro Devices,"$1,001 - $15,000",Mr. Peter Meijer
2021,ADYEY,ADYEN N.V. ADR CMN,"$50,001 - $100,000",Mr. Peter Meijer
2021,A,Agilent Technologies Inc,"$1,001 - $15,000",Mr. Peter Meijer
2021,AAGIY,AIA Group Ltd,"$50,001 - $100,000",Mr. Peter Meijer
2021,AL,Air Lease Corporation Class A,"$1,001 - $15,000",Mr. Peter Meijer
